goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location
"(15.800000000000004, -5.849999999999998)","[(-10.425656384545004, -15.707986609687133)]","[(-10.290185673080863, -16.89024145070907)]","[(-9.445417958810646, -16.691245965904034)]","[(-10.482949299910679, -16.63563838178143)]","[(-9.86661290212927, -16.707252620186594)]","[(-9.347976231103052, -17.098812833311747)]","[(-9.927487821251107, -16.852495032286658)]","[(-8.73246618800742, -16.73173918490142)]","[(-10.168112974258964, -18.00997157950606)]","[(-10.032455479723069, -16.836430155794666)]","[(-9.77052217711752, -16.970845729036736)]","[(-10.048893486682513, -17.231544259916596)]","[(-10.805266159165141, -16.946958536812506)]","[(-10.7948934848199, -15.54744746435511)]","[(-10.125982461714674, -17.645685231184764)]","[(-9.773379572981423, -17.114781831476044)]","[(-10.077928578890086, -16.607456698709758)]","[(-10.224335760022269, -16.1920427385575)]","[(-10.054100768460954, -16.65219686259954)]","[(-9.665901068009044, -16.621872008382514)]","(-10.4, -15.45)"
"(26.800000000000004, -12.549999999999999)","[(-9.000552149636116, 14.865817152000986)]","[(-9.698427072979666, 14.679516039753684)]","[(-9.89260615525569, 13.213611042055765)]","[(-9.70427451164694, 13.554727521200052)]","[(-9.675430749261348, 13.733159511844576)]","[(-9.689339753394957, 13.88572711544505)]","[(-9.829092099017622, 14.05532911806422)]","[(-9.752984886677936, 13.744945593967758)]","[(-10.047050997506298, 13.729000024074212)]","[(-10.159673546856036, 12.970497126813996)]","[(-10.186814344266864, 14.346024586194586)]","[(-9.390198780916048, 13.61303973524846)]","[(-9.716045486114046, 13.769768851381828)]","[(-10.032821833387407, 13.234682912285868)]","[(-9.484190510060783, 13.981786685875877)]","[(-9.661994976091531, 13.645385657050998)]","[(-9.982987853082875, 13.809878416644672)]","[(-10.098126878394387, 13.532693475162315)]","[(-9.135542657978982, 13.582671026969873)]","[(-9.475334107523972, 13.394025327361978)]","(-8.049999999999999, 13.450000000000003)"
"(-9.1, 19.200000000000003)","[(-15.467295987756687, 4.2595007852489)]","[(-15.930306424476198, 3.669467102076391)]","[(-15.717077841155744, 4.121931724369212)]","[(-16.34662123163153, 3.2763917951135855)]","[(-16.052683982862767, 3.523588993880693)]","[(-15.25790628027906, 3.8266558455635584)]","[(-15.655851054114041, 4.726964799443882)]","[(-15.61232337937221, 3.9363340965516813)]","[(-16.15566124246257, 3.5083250130390096)]","[(-15.121443233141907, 4.085955867963911)]","[(-16.34706081829307, 3.5850156409102625)]","[(-16.153912116773434, 4.026413773964212)]","[(-15.08247146452359, 4.131990130005499)]","[(-16.04946008644678, 3.0109830688175876)]","[(-16.28452663264317, 4.742935575678963)]","[(-15.816117227409393, 4.171932257063128)]","[(-16.2162743292253, 4.535352261010927)]","[(-15.150803538856689, 3.514707043198172)]","[(-15.236648186748994, 3.854497109016133)]","[(-15.465498628707733, 3.8138110800410185)]","(-16.25, 3.400000000000002)"
"(-8.75, -14.95)","[(-18.41560532999644, 3.395382418533903)]","[(-17.3900355697106, 3.2791109626956123)]","[(-18.461692616790362, 3.1890014588088382)]","[(-18.159473753377632, 2.2197412963310246)]","[(-18.668536561810335, 2.8810467097337282)]","[(-18.47195595774078, 2.086266489854831)]","[(-18.04019587670254, 3.4999443394891427)]","[(-18.397225414908707, 3.235954294023997)]","[(-18.50570602260251, 2.8740735155434045)]","[(-18.340521213073362, 2.6483925294132824)]","[(-17.80312234643347, 3.0756043015844616)]","[(-18.337320094561314, 3.1555011034134393)]","[(-18.057569161172083, 2.4162317842852334)]","[(-18.113696173011718, 3.2935945574486287)]","[(-18.247284495259848, 3.21037596142272)]","[(-18.2601862394898, 3.6066003216073788)]","[(-17.764204880484353, 2.481094078624178)]","[(-18.4691072670008, 2.9027740159801385)]","[(-17.990073093038948, 2.0232541077034174)]","[(-18.938430654130904, 3.3872900977694114)]","(-18.4, 1.5500000000000043)"
"(28.1, -14.549999999999997)","[(-13.375590125262816, 10.02338209650172)]","[(-11.939062491641385, 9.423424209333207)]","[(-12.447254251706616, 9.7147511467858)]","[(-12.831605932656686, 10.1248429425989)]","[(-13.169565681357147, 9.888188074946788)]","[(-11.62457108850923, 9.944868331529479)]","[(-12.870163471587864, 10.311947949984507)]","[(-13.515056411672216, 10.190672178237717)]","[(-12.41191559824576, 9.897554992856092)]","[(-12.325593364213947, 10.23071766806743)]","[(-12.140100468753552, 9.898459021532442)]","[(-11.864225351190237, 10.638651231629774)]","[(-12.362489337789805, 9.810616058164031)]","[(-12.68611498470374, 9.997074928060261)]","[(-13.108198002241037, 10.923185421541305)]","[(-12.229622470316304, 10.059864097261158)]","[(-13.307541378592695, 10.345227898734878)]","[(-12.670505796770518, 9.81718702936766)]","[(-12.837082417236456, 9.73092780854767)]","[(-12.149779573248972, 10.029333193968974)]","(-12.1, 8.600000000000001)"
"(26.950000000000003, -3.049999999999997)","[(0.8951581306142328, 21.01459472248993)]","[(0.5660903589261213, 21.235019515343712)]","[(-0.189449957572572, 20.790847838579012)]","[(0.6600154330194816, 21.234367697557662)]","[(0.6600154330194816, 21.234367697557662)]","[(0.6702103805906497, 21.248548509126007)]","[(1.3047511694810177, 21.125636744869876)]","[(0.6674964784274185, 21.377473847028515)]","[(1.277526124003546, 22.223979366019236)]","[(-0.2631971047527979, 20.61945667562586)]","[(0.5116899519668949, 21.01625695990733)]","[(0.4084648802768416, 21.625389245637027)]","[(0.37434190699090797, 22.319383788025515)]","[(0.27790652257966375, 21.089243563773728)]","[(0.6585861429787006, 21.966126937137187)]","[(1.6016410907561807, 20.971930622657187)]","[(0.23817912499808003, 21.74720707756208)]","[(-0.18858705927023944, 20.756078279288058)]","[(0.7011606674762686, 21.247102576604014)]","[(0.8985853837886499, 21.278351557166843)]","(1.4000000000000021, 22.6)"
"(6.400000000000002, -10.099999999999998)","[(3.0478648982792094, 16.28486142538539)]","[(3.0591076564710926, 16.088676002820062)]","[(2.9405530341917405, 15.47010022535038)]","[(1.9231989775656082, 16.370457545354682)]","[(2.2839382775103405, 16.02774176703279)]","[(3.1196627881929295, 16.022664281347254)]","[(2.771377737941165, 16.162106702351842)]","[(2.51056341796573, 16.101360341899824)]","[(3.2958784916936423, 16.169456659663734)]","[(3.4350870521285293, 16.651292877510095)]","[(3.0940919081699074, 16.507671312485922)]","[(2.339860583883135, 16.632151140394587)]","[(3.1641900708469946, 15.55623408010919)]","[(3.2276507306845286, 15.984363438516368)]","[(2.9017888467233117, 15.540390705038172)]","[(3.3209334522903773, 15.7482178062182)]","[(2.860751759122184, 16.49160502416573)]","[(3.606021772471024, 15.660296824249077)]","[(3.583090332134288, 15.69780150646416)]","[(2.527118162477487, 15.825431205883405)]","(2.6000000000000014, 18.1)"
"(15.350000000000001, 10.750000000000004)","[(0.0035004205106834996, 23.832564689409956)]","[(-0.43532580525472475, 23.18858444541387)]","[(-0.5092109586612705, 23.922902615814284)]","[(-0.7537965040795527, 24.08668058997445)]","[(-1.261902973179476, 23.400029359343474)]","[(-0.4817345966997714, 23.978023055239024)]","[(0.08583805726547528, 23.856345830171527)]","[(-0.5484608713314256, 23.959235183534968)]","[(-0.687583795057418, 23.327020500241733)]","[(-0.4529637814497811, 23.76011399312669)]","[(-0.8034136979547206, 23.51357692326377)]","[(0.10270595589480391, 23.622915554238798)]","[(0.28994299894341946, 23.9478047026092)]","[(-0.8450482528685055, 24.458349213367672)]","[(-0.829506768882901, 23.471991275742603)]","[(-0.10954757239433721, 23.9835805943467)]","[(-0.1909437786221565, 23.557209745618568)]","[(-0.8779184058034833, 24.199698226684795)]","[(-0.03661737572425228, 23.835637219103315)]","[(0.11274703005442632, 24.25025944601958)]","(-1.8999999999999986, 22.750000000000007)"
"(17.550000000000004, 15.150000000000006)","[(9.228616949714057, -7.2008845829521135)]","[(9.106074676318704, -7.39573091281062)]","[(9.402675063691335, -7.149965633206618)]","[(9.212140736750536, -6.485541232480223)]","[(9.689089130185122, -8.188413380569948)]","[(9.67355128114437, -6.011976124687591)]","[(8.276260594916666, -7.182472300746509)]","[(9.533905059614531, -7.257931386052719)]","[(8.906446271672616, -7.614456217719812)]","[(9.41230359875833, -7.44199170914707)]","[(9.558494926239193, -6.171573426994115)]","[(8.071511832355517, -8.095144184946053)]","[(9.558208241095564, -6.954681337567193)]","[(9.718170966156983, -6.769324655237488)]","[(9.39089601244906, -7.721053142820315)]","[(8.648705587193358, -7.277556203245314)]","[(8.891121368338746, -7.153824335163525)]","[(8.935403792540074, -7.540104022236373)]","[(9.558494926239193, -6.171573426994115)]","[(8.809736145761269, -7.309640715678378)]","(9.850000000000001, -8.799999999999997)"
"(18.4, -4.099999999999998)","[(16.547050405379363, -9.513781727551537)]","[(15.305045475158394, -10.301843596579088)]","[(15.554971832747901, -9.686312433779088)]","[(16.202326308803134, -9.379955529414886)]","[(15.958396912540225, -9.901343816438954)]","[(16.16004372013249, -9.814234300454793)]","[(16.434946665970987, -9.34937346601607)]","[(15.994278780152959, -9.479038372254163)]","[(15.996210393976641, -9.499275079806022)]","[(16.022650183865597, -9.431137258568032)]","[(16.137323967051078, -9.276522663733278)]","[(15.658641258304687, -8.632792246219514)]","[(15.917889227499941, -9.528926423723664)]","[(16.15167014514095, -9.46101442071977)]","[(15.76387038430808, -9.039351687007922)]","[(16.345279992303205, -9.892916743430375)]","[(15.671704126266405, -9.488592898265914)]","[(16.569903848969354, -9.163990100974036)]","[(15.672243959263584, -9.378443666840996)]","[(16.029969192724646, -9.702627522476376)]","(14.600000000000001, -9.299999999999997)"
"(-17.6, -4.749999999999998)","[(14.719690435487907, -0.08108830731965955)]","[(14.351413674761826, -0.139049171815394)]","[(15.248148654318662, -1.0482878294927147)]","[(14.778230664805017, -0.8038109677255147)]","[(15.476863115021645, -0.8012972698923913)]","[(14.840056473299077, -0.8739254606063498)]","[(14.864267105863382, -0.7331204361098108)]","[(15.251037052758766, -0.929121334329768)]","[(14.239740665093187, -0.11582121751448282)]","[(14.74763387481653, -0.05992486429218047)]","[(15.845189282419048, -0.9072235526865957)]","[(15.508725789350935, -1.6817207766987843)]","[(14.19440546642734, -0.02083205030556079)]","[(14.705305527172081, -0.7001420288340073)]","[(15.29126875136509, -0.7517408138191609)]","[(14.83931252147618, -0.5893506330189211)]","[(15.785061754511345, 0.27068321137127416)]","[(14.141545216570439, -1.7748704992075002)]","[(14.36395562147081, -0.4898449227824393)]","[(14.604431508456205, -0.6508870646220428)]","(15.899999999999999, 0.5000000000000036)"
"(-12.899999999999999, -16.799999999999997)","[(-15.938831146904215, 5.052763586070355)]","[(-15.91829744706077, 4.747362734273234)]","[(-15.725733011450961, 5.495372532203075)]","[(-16.056821079977635, 4.540461358881025)]","[(-16.684517286762503, 5.5673845315567485)]","[(-16.245315145641968, 5.4734865464433025)]","[(-16.934854135624203, 5.626454409381466)]","[(-15.978893461842263, 6.018971071343682)]","[(-15.667925800994917, 5.600041780692129)]","[(-15.639158101171953, 5.050194469352192)]","[(-16.29523001013916, 5.325197743122671)]","[(-16.178069570393554, 4.374160570070867)]","[(-15.811198008541805, 5.403353296336242)]","[(-16.018766886759142, 5.750042705010681)]","[(-15.93261274990988, 6.081546678632109)]","[(-15.353233813058516, 5.556688497359861)]","[(-15.938411252913367, 5.454238936148831)]","[(-16.006105614512915, 5.682254133624118)]","[(-16.303598407058676, 4.918086985137641)]","[(-15.985485997403444, 5.884868003740147)]","(-16.05, 4.100000000000001)"
"(-17.0, -12.049999999999999)","[(21.103686049032973, -13.408761843677318)]","[(21.12618254634791, -13.490853714420775)]","[(21.164965846309787, -15.501715867560257)]","[(21.212593706092456, -14.508767163894847)]","[(21.976448367335486, -13.47493011768836)]","[(21.286075589360152, -13.506877098875371)]","[(21.869039370551313, -13.500943610502205)]","[(21.65692178059341, -13.85767332957778)]","[(21.36148225152287, -14.77717158150808)]","[(21.922194262258497, -13.63916816586639)]","[(21.909803178959134, -13.73552628495275)]","[(22.284246146719056, -13.461312334239686)]","[(20.765780239818252, -12.777395277579451)]","[(22.08495376642362, -13.728133318249052)]","[(21.187474540246352, -13.63996909685086)]","[(21.12131993707765, -14.878593884805431)]","[(22.00409349812116, -13.780798932542298)]","[(21.30988693444773, -13.266464685905738)]","[(21.070812396496336, -13.651947839298172)]","[(22.254449030513225, -13.7948644042285)]","(21.300000000000004, -15.849999999999998)"
"(6.100000000000001, 22.200000000000003)","[(-9.981512290830523, 23.351922664650942)]","[(-9.67545772666743, 22.02579953372374)]","[(-9.745116578947158, 22.571798775348494)]","[(-8.990909931825945, 23.15726130619886)]","[(-8.73140379301528, 22.709518972253957)]","[(-9.728197969632115, 23.168888427073334)]","[(-9.738889661692042, 22.617256789961875)]","[(-8.329703972294098, 22.503680360862177)]","[(-8.785253093496156, 22.2194757410289)]","[(-9.715297730335545, 23.04188296790407)]","[(-8.504916454248374, 22.646042007454597)]","[(-9.967976478376436, 22.522468102078147)]","[(-8.240303260810066, 21.663278219969527)]","[(-9.320646027068964, 21.57968470589394)]","[(-8.92747328567697, 22.924123182622758)]","[(-8.405626428376609, 23.684489853621994)]","[(-8.754996571585405, 22.811526480246517)]","[(-9.773052158725658, 22.88600852246852)]","[(-9.596645176324419, 22.80580765568062)]","[(-9.383286789543648, 23.11873361254914)]","(-10.549999999999999, 21.500000000000007)"
"(-17.85, -5.899999999999999)","[(10.263937466416614, 16.33924471063041)]","[(9.979371821966883, 16.159806181101267)]","[(9.897180963767791, 15.750649316760551)]","[(9.434154644717648, 15.580053054994568)]","[(9.528490838806585, 15.087702070049875)]","[(9.589976661415818, 16.280110074364618)]","[(9.411211630109507, 15.993027885179343)]","[(9.688184940978775, 16.24352802788864)]","[(10.2049740123781, 16.29051854962531)]","[(9.302966364898387, 16.175882878899273)]","[(9.333762802683532, 16.76788396915159)]","[(10.197535753549216, 16.500538290075877)]","[(9.667445976216403, 16.216805457440984)]","[(9.434181181270878, 17.071460166847803)]","[(10.75244804375055, 16.512780181356465)]","[(9.411211630109507, 15.993027885179343)]","[(10.039817252963807, 16.50006702628151)]","[(9.713222430462794, 16.892366109645643)]","[(9.568363892109588, 17.16209609070986)]","[(9.929457270795302, 16.50086940140092)]","(9.100000000000001, 15.300000000000004)"
"(7.350000000000001, -2.3999999999999986)","[(5.8143434299727055, 13.523425429823826)]","[(4.812919056408608, 13.757163791153168)]","[(5.993595286386436, 14.208917501248708)]","[(5.5226159888193305, 12.818844794391982)]","[(5.85181054458804, 13.328137069676174)]","[(5.048970179072131, 13.183879835584982)]","[(6.12465741175675, 13.171185878061575)]","[(5.823620913934972, 13.387581451344044)]","[(5.756561540542569, 13.09505903338119)]","[(5.844198434144785, 13.51349950797642)]","[(6.018685717193666, 13.533560439978277)]","[(5.185113698095698, 13.271677383671424)]","[(5.656748389214241, 13.51678786399348)]","[(4.781878822352304, 13.225791467284182)]","[(4.9544819011342565, 13.176885570109212)]","[(5.652673296485511, 12.852701485776466)]","[(5.456460244372798, 12.63210754355751)]","[(5.523985869177967, 12.934824218419735)]","[(5.313804846818389, 13.57808262692969)]","[(5.4988744753152226, 13.349271018955795)]","(6.800000000000001, 13.850000000000001)"
"(-18.3, 6.300000000000004)","[(33.0147118258576, -12.486948601897184)]","[(32.43133720280888, -11.92843355368798)]","[(32.48794980746112, -12.703509171635416)]","[(32.576251340607605, -12.108678018605225)]","[(32.25877279506597, -13.093984376198277)]","[(32.13979758702872, -13.531539672447959)]","[(32.58182975523614, -12.77299318474693)]","[(33.285812094408975, -13.300892827861306)]","[(32.447997307294024, -13.202950141943893)]","[(31.49996664219882, -12.961977301437802)]","[(33.04657887443758, -12.199094324617898)]","[(33.249002569164865, -11.91251405066827)]","[(33.18991705499999, -12.40247762579546)]","[(33.619630243594834, -12.897072384255432)]","[(31.921069172927986, -12.884712714591235)]","[(32.497125999349464, -13.07694428961578)]","[(32.765874073556105, -13.084317920503532)]","[(31.995554474592026, -13.090075782748391)]","[(32.203283310344254, -12.616655150190788)]","[(32.36410375704715, -12.5500914975671)]","(31.550000000000004, -11.399999999999999)"
"(8.0, 7.0000000000000036)","[(7.920857261721118, -10.467511531776404)]","[(7.145119744848002, -10.557398164868152)]","[(6.023234964778084, -10.297417412447587)]","[(7.4395801698713075, -10.537760169396542)]","[(7.31391314623796, -10.745359267895928)]","[(7.587163619434912, -10.875570362643783)]","[(7.156836197846531, -9.53496894423418)]","[(7.437018107013818, -10.106628898069458)]","[(7.261565772324435, -10.308324220029293)]","[(7.555819663454767, -10.469372390904647)]","[(6.83615248670555, -10.213786309367933)]","[(7.263809057406072, -10.80812785525061)]","[(6.796968157560341, -10.265173440667212)]","[(7.577417069686596, -9.221766295394225)]","[(7.171659153377431, -10.78581571911228)]","[(6.628691554177903, -10.449508040609087)]","[(7.541657631388019, -10.714778164693929)]","[(7.46919313123218, -10.919853070657817)]","[(7.647467152446669, -11.25164904380164)]","[(7.062729195239301, -10.315310570850444)]","(8.3, -10.099999999999998)"
"(13.550000000000004, -11.299999999999999)","[(9.669191028315621, 13.000490319102752)]","[(8.165831115608485, 12.34506697614516)]","[(9.14698309137242, 12.964472799540628)]","[(8.937219531883876, 11.777549489257503)]","[(8.395367507491994, 11.8481540297699)]","[(9.481172768182104, 12.49293826310525)]","[(8.98197911144597, 12.170560227320422)]","[(9.382923420005636, 12.078827533843024)]","[(9.533614229282955, 12.26851226870951)]","[(8.844138113895662, 12.161354024645274)]","[(8.041232052877202, 11.918862987125857)]","[(9.38020345936983, 12.491795432278092)]","[(8.47029048322193, 12.14770190727891)]","[(8.09152171867208, 11.573341942715196)]","[(8.655117972004282, 12.861426473874682)]","[(9.349729109150466, 12.13846798873401)]","[(8.668077244385326, 11.967535709815236)]","[(8.227559975666974, 11.988773674667096)]","[(8.434347104604317, 11.84028110212339)]","[(8.73347203971308, 12.086609794805959)]","(7.900000000000002, 12.150000000000006)"
"(10.350000000000001, -13.149999999999999)","[(-8.611590259248734, -10.641814322921006)]","[(-9.038993124101113, -10.21333984982512)]","[(-8.865800400639614, -10.126095612795346)]","[(-8.764930993830621, -10.299042202362852)]","[(-8.744800394092623, -10.106660011037981)]","[(-9.328162009024739, -10.318571221609325)]","[(-9.017185874625243, -9.789052645287944)]","[(-8.409372844914145, -10.09539598104401)]","[(-9.07432679779308, -10.058037479786739)]","[(-8.670549158875293, -9.903337827649258)]","[(-8.88139119462835, -10.006376643541836)]","[(-8.419327421626116, -8.998861907499014)]","[(-8.825267076386336, -10.304765130724393)]","[(-8.872622751164371, -10.049899783986648)]","[(-9.09405486956177, -10.25505916052605)]","[(-8.796449794026966, -9.116096140465503)]","[(-8.46150186683221, -11.768335540532656)]","[(-8.97491952927755, -10.157469385809758)]","[(-9.125291570625654, -10.1007260668272)]","[(-8.367619140831739, -9.40130761577366)]","(-8.549999999999999, -11.049999999999997)"
"(-4.199999999999999, -16.299999999999997)","[(20.95921178587695, -15.740132664511748)]","[(21.372525101695686, -15.788762925467001)]","[(19.89227774583604, -16.719376936082725)]","[(20.544053636215878, -16.642671144725398)]","[(20.29508026555409, -15.483050766324379)]","[(20.636194880287967, -15.792741262480266)]","[(19.7949201822983, -16.11113875955373)]","[(19.5676221204137, -14.197931146139595)]","[(20.451674082701565, -15.828991021445741)]","[(21.09060730640482, -15.65874277633632)]","[(20.267698324751, -15.607296298368874)]","[(20.842950074249355, -15.528805211359526)]","[(20.657467619851396, -15.83750831689857)]","[(20.209115248253315, -16.19297333353629)]","[(20.975789324697917, -14.93803875572289)]","[(20.612042603968654, -15.18390148966407)]","[(20.613923590016537, -14.67489112001797)]","[(19.9443341549064, -15.602308904990814)]","[(20.234114375593013, -15.901058864254724)]","[(20.346540218811413, -16.456766998715047)]","(19.35, -16.75)"
"(-2.0500000000000007, 13.100000000000001)","[(25.334759026700585, 3.1251369436931467)]","[(25.63646034639746, 3.616732302629143)]","[(25.96363752304736, 2.6373233210262867)]","[(26.018459967696437, 4.345077590148708)]","[(25.156579801364373, 2.600510209064291)]","[(24.777211566052074, 3.2197750785358235)]","[(26.191741148474513, 3.599353029916875)]","[(24.644178770357886, 3.8016378802733346)]","[(25.78608309513471, 2.9107238078963027)]","[(24.92296188383088, 4.004265389647802)]","[(25.01754275036206, 3.262708870819756)]","[(25.376751309296854, 3.650537921424969)]","[(25.693486852964778, 4.01301041439154)]","[(25.695571381947843, 3.6558097650204235)]","[(24.991807500453547, 4.353796109246283)]","[(25.887673764896515, 3.3694298476866584)]","[(25.898066274221772, 4.281067168150583)]","[(24.690705605298547, 1.8602010561674447)]","[(25.750738549887373, 3.6347433881043822)]","[(24.94790087435496, 4.056701712198264)]","(26.800000000000004, 2.3500000000000014)"
"(4.150000000000002, 5.650000000000002)","[(-10.265800565416054, 22.73149133452962)]","[(-11.090593132465319, 23.792006065351973)]","[(-10.97325276968175, 24.097911646120547)]","[(-10.595437320548351, 21.876641048159073)]","[(-10.445205856365478, 22.017560965192203)]","[(-10.745209684856036, 22.40468499692917)]","[(-9.816075910336084, 22.673382928854465)]","[(-10.788242970462196, 22.91719713124556)]","[(-9.968686720920381, 23.528496535588314)]","[(-10.433999122756386, 23.713964965817414)]","[(-11.489619573330629, 22.966463139485363)]","[(-9.967881347247582, 23.05751235824063)]","[(-9.99429672155517, 22.46885834204699)]","[(-9.669823575350385, 21.92104937678253)]","[(-10.653601232652864, 22.88435515027439)]","[(-10.185202908605602, 21.97572053331132)]","[(-10.502176488694591, 22.88387230795092)]","[(-10.651390387453098, 22.575848859274004)]","[(-9.89018216452457, 22.389091234504733)]","[(-9.986705800529045, 23.084388491317487)]","(-8.95, 21.800000000000004)"
"(18.35, 8.450000000000003)","[(21.511889740692908, 9.245150030554118)]","[(20.7587725012691, 9.883988716779713)]","[(20.97077273909071, 9.476560264404425)]","[(21.133626917430032, 9.491263611935375)]","[(20.963264727506044, 10.343120036110003)]","[(21.08056514719443, 9.519837122600705)]","[(21.823762987867603, 9.693424687131149)]","[(20.680469284643188, 9.727501241791241)]","[(20.38085449212216, 10.029438387388991)]","[(20.495025277738982, 8.857794470456083)]","[(20.726669147905408, 9.769833408980917)]","[(20.692413437569734, 9.693807747249664)]","[(20.922626486714876, 9.807237176634791)]","[(21.699013023363236, 9.273468708246464)]","[(21.349508293614036, 9.486186011614615)]","[(20.592157319370806, 9.86327233990556)]","[(21.89907799102744, 10.062726818664519)]","[(21.138709440279563, 9.99270103303555)]","[(21.10967374090195, 9.227993329742123)]","[(20.493130632936037, 8.514164495847275)]","(22.0, 8.250000000000004)"
"(34.050000000000004, -9.549999999999997)","[(15.39988769858169, 22.18085770867973)]","[(14.852075442914373, 22.529990670158167)]","[(14.983752930877648, 21.339646651594567)]","[(15.29075461325857, 22.44936189165363)]","[(15.205061774379596, 21.075550671576167)]","[(14.715358807004158, 22.194683568787166)]","[(15.418024614455788, 22.116760103900642)]","[(15.442024111173275, 22.560577588744156)]","[(14.978726982635584, 22.82669326655344)]","[(15.95790925619759, 22.340659518779194)]","[(14.901025639089994, 22.628681414538825)]","[(14.321023089799976, 22.523955690926584)]","[(15.026135259728314, 22.547540373040043)]","[(14.62821323361825, 23.440845258820545)]","[(15.50572103791303, 22.383661009622756)]","[(15.61791406621767, 21.495404311543915)]","[(15.551338201377433, 21.821589272587403)]","[(16.318945133909324, 22.05643006863573)]","[(14.808819303758884, 21.913374508387136)]","[(15.875446219605212, 22.592252481690707)]","(15.700000000000003, 20.300000000000004)"
"(15.850000000000001, 18.550000000000004)","[(-1.9290557875131216, -1.9834063334666197)]","[(-2.1661648514110095, -1.8432594732918524)]","[(-2.482890156606814, -1.4743973027464827)]","[(-0.6125103551132152, -2.398670613006379)]","[(-1.3918151049550866, -1.2399343709777964)]","[(-1.4426979648730118, -2.907235623689358)]","[(-2.2155848369424143, -1.3636876612651956)]","[(-0.5478546988966158, -2.3557498193380577)]","[(-1.1688110050748468, -1.7128051275096778)]","[(-2.2420035438086385, -0.8804738808707733)]","[(-1.5218592094714172, -1.5843280296714393)]","[(-1.9779598628307702, -1.051582865882018)]","[(-1.8132334241035197, -3.1035853852525426)]","[(-1.8221174165198557, -1.0816723929139194)]","[(-1.5153777499749699, -2.4223348488021177)]","[(-1.9543295304713146, -1.2475331769997768)]","[(-2.16679756036306, -1.696637822895908)]","[(-0.6125103551132152, -2.398670613006379)]","[(-1.3749615378034854, -1.9724476381033416)]","[(-1.9232223531231798, -1.1322524002113319)]","(-1.5999999999999979, -1.0499999999999972)"
"(8.700000000000003, -2.3999999999999986)","[(-7.600026104400768, 4.621148903533234)]","[(-7.785234713282892, 6.401742048291229)]","[(-8.984658306598732, 5.029286988763627)]","[(-8.115299330705227, 4.981359247207301)]","[(-7.382024179167411, 4.380624327655355)]","[(-7.976958667479159, 5.198983912382671)]","[(-7.726317210991299, 5.27911304607462)]","[(-7.6367249206028305, 4.791376639268227)]","[(-6.518194530432348, 5.015577603771579)]","[(-7.6179917594045925, 4.909871958250424)]","[(-7.3432808644243535, 4.675600310434177)]","[(-7.897839179703856, 5.234425893123068)]","[(-8.58598898738796, 4.981042560011376)]","[(-7.734930417141837, 5.028668846583987)]","[(-7.5058213580774344, 5.348393352388334)]","[(-7.979520756608009, 5.298559900881159)]","[(-7.531113508005845, 4.641892713613602)]","[(-8.937562615512837, 5.017632298214871)]","[(-8.304910739728514, 5.683571326215202)]","[(-8.161231982228841, 4.988941412130696)]","(-9.149999999999999, 4.7500000000000036)"
"(13.399999999999999, 2.5500000000000043)","[(20.784132947664602, 5.058883462437061)]","[(21.09697038726745, 4.126771258773218)]","[(22.43272598615399, 3.839235065806961)]","[(19.987626516941273, 4.364036192605872)]","[(21.17596529675535, 3.8898505377345067)]","[(21.717047456030464, 3.861821365614012)]","[(21.029296496795155, 4.772958923584667)]","[(21.508771968682765, 5.073978516399816)]","[(21.422932403827367, 4.132185017061255)]","[(21.5028370865103, 4.996180128899342)]","[(21.360754868024316, 3.8103715248354835)]","[(20.514617674885102, 5.328963205058466)]","[(21.405718915405906, 4.980596793525852)]","[(21.64942540933165, 4.424027822238164)]","[(20.501064296762127, 5.3545493217636375)]","[(20.60174637909993, 4.220380834622781)]","[(20.89632178271379, 3.721027794750597)]","[(21.00345032052993, 4.394873363372166)]","[(21.543743588896454, 4.239547125747752)]","[(21.596489471799504, 4.4900439248725155)]","(19.75, 3.6000000000000014)"
"(5.150000000000002, 18.050000000000004)","[(15.44660992093448, -9.857563705785404)]","[(15.91786095121024, -10.23053879742953)]","[(14.80139285646097, -10.543128665433798)]","[(15.832149682251314, -9.500328615102205)]","[(16.118521292357027, -10.441732284683175)]","[(15.767908948547033, -9.882460306715728)]","[(16.247603015585103, -11.421863353345298)]","[(16.249093190794962, -9.992523258745559)]","[(15.14991630212051, -10.18914683155346)]","[(15.598370237559596, -10.536070091117526)]","[(15.436511235204488, -10.68219355234009)]","[(16.241837642335177, -10.323439726749958)]","[(15.499026781370464, -10.782608611684152)]","[(15.924085486669808, -9.586844849374238)]","[(14.622479524308591, -10.080641035824417)]","[(15.986940651881897, -9.545772524228816)]","[(15.259021410111222, -9.522225446735748)]","[(15.678431184613189, -10.16399010187629)]","[(15.201308059202677, -10.3860474965599)]","[(14.874705178276388, -9.85245072645904)]","(16.65, -10.899999999999999)"
