goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location,picked_0,picked_1,picked_2,picked_3,picked_4,picked_5,picked_6,picked_7,picked_8,picked_9
"(4.623, -1.3019999999999996)","[(1.4950081674075417, -2.838228295168598)]","[(0.6190008551363697, -2.2074631305114685)]","[(0.9738484234878525, -2.345615649985031)]","[(1.1724487576053564, -2.916351693892765)]","[(0.4477650740963208, -3.2609585331983855)]","[(1.2090840372423262, -2.2512371652738272)]","[(1.462768435532481, -3.38925761285006)]","[(0.10283345747865968, -2.8824507429224626)]","[(1.2628990578675139, -2.9543338073672265)]","[(1.270545940754436, -1.977005866228454)]","[(1.3231082700162706, -3.2592107483912374)]","[(0.33713669917558686, -2.4426188091861736)]","[(1.4196766770402487, -2.2375144062747605)]","[(0.8412946316260149, -2.3346149753927823)]","[(0.8195513210634473, -2.7218099719097895)]","[(0.3768422602841859, -2.128673388366483)]","[(1.428370346556089, -2.764592984671161)]","[(0.7555302012111931, -2.5979909794587983)]","[(1.7588411541475244, -2.5671247116893543)]","[(1.6630133895286319, -2.777956756042361)]","(0.0730000000000004, -1.5019999999999998)",False,False,False,False,False,False,False,False,False,False
"(-3.4769999999999994, -2.1020000000000003)","[(0.34738912444698405, -4.928399204165605)]","[(0.11229298986728542, -5.488664863690172)]","[(-0.30608932851229226, -6.113861189308391)]","[(-0.7037784922884258, -4.199687468237364)]","[(-0.2316806586708084, -3.9144882262635234)]","[(0.23904287302446653, -4.866590548579223)]","[(0.3766891273616999, -4.236677809906246)]","[(1.1902881966206296, -4.855698580594839)]","[(0.013464773401430652, -4.832281094494805)]","[(-0.1345676550853115, -4.1095109559695135)]","[(0.456730687265954, -4.950542905038172)]","[(0.36302884799546165, -4.943038015574205)]","[(0.4769265491995242, -5.800300715351227)]","[(1.5753671442215607, -5.255587936679189)]","[(-0.39309263284425927, -4.766372298623315)]","[(0.15716436068309364, -4.523358946932727)]","[(0.8555824095518976, -5.115210556391469)]","[(0.23340775429905639, -5.048701945466628)]","[(-0.6068663436305226, -4.187196465569056)]","[(-0.7892539907210201, -4.185460017863664)]","(-0.3769999999999998, -4.152)",False,False,False,False,False,False,False,False,False,False
"(-0.9769999999999994, -4.052)","[(1.007348482528048, 1.2918990875616239)]","[(1.8082394441300353, 0.8830750729153756)]","[(2.000550191235408, 0.5937810126904244)]","[(0.8814229027593519, 1.518810881732525)]","[(1.739189340614339, 0.9381884833356643)]","[(1.6403541327159439, 0.8225159951602571)]","[(2.1165310711196352, 0.5712946351046095)]","[(1.5120084647216816, 1.1161617045328862)]","[(1.4071107396117517, 1.3307726999940872)]","[(1.5817112137980207, 1.1401648602232728)]","[(1.9853451727884397, 0.7552740916210676)]","[(1.5351711932726884, 1.7329163364138676)]","[(2.3153916953727225, 0.702595555070296)]","[(1.858848987170071, 0.8245050990182085)]","[(1.5732049705215487, 0.813903236355542)]","[(1.9628050328021804, 0.30011973295218164)]","[(1.3126831373287424, 1.1341593068402909)]","[(1.9767627026764114, 1.084731387755499)]","[(1.59853738232859, 0.7799860392555603)]","[(1.4246797301646794, 1.2797640619441504)]","(0.8230000000000004, 1.8479999999999999)",False,False,False,False,False,False,False,False,False,False
"(-3.4269999999999996, -3.1020000000000003)","[(-1.4463353452539898, -5.856969447274787)]","[(-1.5864074888707922, -6.027713408896925)]","[(-2.344823453935626, -6.146813757073458)]","[(-2.8022910784402364, -6.112059414332169)]","[(-1.8264750836526336, -6.655413835804878)]","[(-1.9155273170668732, -6.165336491122771)]","[(-2.046007018934054, -5.389797298236315)]","[(-2.4768126963427877, -5.521952164016653)]","[(-2.726378614558927, -5.879050033991496)]","[(-1.5487438206533861, -5.94317364672959)]","[(-2.7344309740443915, -5.679335762005319)]","[(-2.2933423283403362, -6.2173889072862725)]","[(-2.3497395856928365, -6.134701242960865)]","[(-2.5047642699940824, -5.956163581784751)]","[(-1.3131234155297267, -5.52672707784415)]","[(-1.8762204592790097, -7.309144402983844)]","[(-2.219670680358806, -5.34030922195269)]","[(-2.256625613040749, -5.600199977063699)]","[(-1.8202947768549578, -5.87793963771495)]","[(-2.494718485967695, -5.853272023975817)]","(-2.877, -4.752000000000001)",False,False,False,False,False,False,False,False,False,False
"(-2.127, 0.5979999999999999)","[(4.45978201619272, 2.856765627690175)]","[(4.655086882167379, 2.4886409158738094)]","[(4.928365288304481, 2.357502606042165)]","[(4.441234706918928, 3.063866191476772)]","[(4.448936009213188, 2.6497295798837093)]","[(4.557522519611947, 2.1546414851883444)]","[(4.659868905890969, 2.611953626333131)]","[(4.313621304385289, 2.8952474774984176)]","[(4.567196664211072, 2.8576972790517514)]","[(3.997086347570595, 3.0878175748248977)]","[(4.253202296221229, 2.9112313710990243)]","[(3.322864175259477, 3.4075546324109434)]","[(5.3276166770191775, 3.2217699230119337)]","[(4.244844342523498, 2.6886425226939967)]","[(6.0915476670174264, 2.8818872332925762)]","[(4.222762368463672, 3.145655734839032)]","[(3.976836102689251, 3.0379061176563007)]","[(4.087297155488727, 3.0959921874470058)]","[(4.606823368834399, 3.392405206829598)]","[(4.708161597641248, 2.713155424429354)]","(2.5730000000000004, 1.8979999999999997)",False,False,False,False,False,False,False,False,False,False
"(2.2230000000000008, 2.298)","[(-4.628134138042326, -4.265717444023809)]","[(-4.512238608553114, -3.4025736259806103)]","[(-4.955016602188186, -2.8498940449320656)]","[(-4.779907497741107, -3.921666510956659)]","[(-4.650786839668046, -4.433399749657876)]","[(-4.748136857358828, -4.930899751161803)]","[(-3.755192380885194, -3.9758243879534976)]","[(-4.883993953803607, -3.0397556673497674)]","[(-3.294826893945948, -4.160970725689891)]","[(-4.743574959611966, -4.022022770236698)]","[(-4.5109606429597, -3.409565667650658)]","[(-5.037483868731293, -4.990415200590371)]","[(-4.630874809909493, -3.55240329226365)]","[(-4.480968519448138, -3.775933895040725)]","[(-5.068047143000263, -3.9675853321503354)]","[(-5.042305349926616, -3.663174618744553)]","[(-4.378873769243337, -3.797670821623297)]","[(-4.180244028699236, -3.5373920120791755)]","[(-5.111135786065447, -3.7042779470964495)]","[(-3.654687576958807, -3.862625495476252)]","(-4.276999999999999, -2.802)",False,False,False,False,False,False,False,False,False,False
"(-3.4769999999999994, 2.3979999999999997)","[(-2.6466383641789584, -4.584810979073646)]","[(-3.106283984532051, -4.458930140208104)]","[(-3.223378338598683, -6.115865116567045)]","[(-2.537038992663831, -5.505434134881057)]","[(-3.2336638115196665, -5.3562834006756255)]","[(-2.7740280641472346, -4.632052948730184)]","[(-2.222678385788609, -5.505796435530978)]","[(-2.417399078225646, -5.6965628013894785)]","[(-2.553531035637829, -5.449742386413566)]","[(-3.1274361052338384, -5.11764109110746)]","[(-2.951402265645833, -4.494102688265124)]","[(-3.442788859848297, -4.6295051144168635)]","[(-3.7996395875902396, -5.927193497461942)]","[(-2.938965125724752, -5.771565055730341)]","[(-2.8363192846329364, -5.085626180519127)]","[(-3.115047470636813, -4.674051325774207)]","[(-3.3454729878389853, -4.837827059680584)]","[(-3.0780709975290304, -5.450861438905335)]","[(-2.948897736735566, -5.441841625379293)]","[(-2.2932766600784698, -4.971267435138272)]","(-3.5269999999999997, -4.152)",False,False,False,False,False,False,False,False,False,False
"(2.2730000000000006, -1.4020000000000001)","[(3.2032607246956992, -2.042937540031377)]","[(3.088624764071474, -1.4909362472400352)]","[(3.2505330357714337, -0.6623277135184369)]","[(3.731145145350716, -1.6744859475411036)]","[(3.3538441839012694, -1.4665601908583774)]","[(3.6575750369368807, -1.8288538599425361)]","[(2.39848416739994, -1.4392791087517953)]","[(3.8357527093248462, -0.8453844753179339)]","[(3.4884625744779596, -2.2949781527459283)]","[(3.1116720733833945, -2.3944001329851976)]","[(3.580089347667333, -2.380253771951049)]","[(3.8716329807983847, -1.686721026945668)]","[(3.784523363498583, -1.2504149092314396)]","[(2.627397980127528, -1.6073727694988524)]","[(3.345056069255051, -1.5686541755691388)]","[(4.048065759439603, -2.0007467341560816)]","[(3.2398803163171284, -2.0976523747910325)]","[(3.5243545816727617, -1.9350333835913347)]","[(3.2709193335355975, -1.7439517502480317)]","[(3.1574598928035456, -1.7419074946858584)]","(2.0730000000000004, -2.552)",False,False,False,False,False,False,False,False,False,False
"(-1.0269999999999997, 1.298)","[(0.11770128427459947, -4.458644329401382)]","[(0.6285496699963048, -5.56506125806774)]","[(0.5465477119641691, -4.879019184976262)]","[(0.49510630106397535, -5.182923371820374)]","[(0.589515996508369, -5.501676213710015)]","[(0.24622675119589818, -4.69346719038313)]","[(-0.4797886623859805, -4.6800958800525105)]","[(0.23015766822566303, -5.3146587872029265)]","[(0.18520621866571085, -4.13960647845536)]","[(0.9073916977582063, -4.096347028764987)]","[(0.26190534593355347, -3.8688900852917056)]","[(-0.12026290467896361, -4.471525684808415)]","[(0.260719005962133, -4.506854536724885)]","[(0.04592340841092271, -5.013292870991333)]","[(0.5626748085350555, -4.299809303491252)]","[(0.26378480523354814, -4.298777752039806)]","[(0.9967421841955418, -4.8247389253774)]","[(0.7670747415430585, -4.676800288973482)]","[(0.589515996508369, -5.501676213710015)]","[(0.3163839078487921, -5.180782792324559)]","(1.5730000000000004, -4.752000000000001)",False,False,False,False,False,False,False,False,False,False
"(-0.27699999999999925, 0.9480000000000004)","[(-2.064561412766699, 0.534303613533063)]","[(-1.065559093106226, 0.5185729991484039)]","[(-1.0474290871866903, 0.8598338285811379)]","[(-1.7229929373380195, 0.9440215621427022)]","[(-1.2808465493396997, 1.658399660439342)]","[(-1.322400124446601, 0.5363858244396212)]","[(-1.847486630865868, 0.9801147038873119)]","[(-1.1762188810875545, 1.9344221020202073)]","[(-2.090109191935971, 0.30408428688297495)]","[(-1.1788504134460405, 1.3198135849442938)]","[(-1.913198140812446, 0.9544229597964362)]","[(-1.1270947692907922, 0.9638982820830755)]","[(-1.3531987599965059, 1.4680990929441653)]","[(-0.9764779487085191, 0.38328406937993975)]","[(-1.3995290090651933, 1.2544449931614576)]","[(-1.0736674624538645, 0.4025777915004469)]","[(-1.6927866836752292, 0.8945386640883992)]","[(-1.1190621139826216, 0.8421465121338093)]","[(-1.7184504534267722, 1.4857402944963989)]","[(-1.8154282690422585, 1.4427847857813854)]","(-2.5769999999999995, 2.4480000000000004)",False,False,False,False,False,False,False,False,False,False
"(-2.8269999999999995, 0.09799999999999986)","[(-0.6579789409115642, 3.3659277033962116)]","[(0.4678510026916248, 2.710895240126559)]","[(0.0010508440750165438, 2.575333602166469)]","[(-0.3327542706759448, 3.4034018659288585)]","[(-1.0263289450565871, 2.75779668456231)]","[(-0.4259010632635165, 2.7188167255796527)]","[(-0.7701622378362365, 3.3694017101546168)]","[(-0.2655547315831036, 2.1578080815040126)]","[(-0.309265843894394, 1.8413153465974814)]","[(0.3542150937617094, 2.6621567896489005)]","[(-0.6624903659189643, 1.8258252656239393)]","[(-0.7476398223302124, 1.5031274015697433)]","[(0.18782845606940085, 2.520964583398788)]","[(0.09148782948116169, 3.2240443365877005)]","[(-0.5728591137599921, 2.737066641998547)]","[(-1.2472050448827978, 2.1414388912558584)]","[(-1.5290032223081276, 2.0633974938271944)]","[(-0.11648055263790927, 2.210468107401687)]","[(0.10925235169587005, 2.558783849307131)]","[(0.27189898489406045, 2.5433477830931173)]","(0.6730000000000009, 1.9979999999999993)",False,False,False,False,False,False,False,False,False,False
"(0.8730000000000002, -5.852)","[(-0.948255492047079, -2.892220280139693)]","[(-1.065105221977829, -3.7506517761535663)]","[(-1.5758459620954626, -2.6103094034199352)]","[(-1.4150926250735678, -2.7987340683555355)]","[(-1.8079623595685264, -3.375744157480035)]","[(-1.8152684133315224, -3.322998091592816)]","[(-2.1909203380866233, -3.466973979892712)]","[(-1.1706769230122291, -3.136113483740668)]","[(-1.7304897345769183, -3.5258488589657753)]","[(-1.0249541428416151, -3.571528937185668)]","[(-2.0835984903556635, -3.3351075735071483)]","[(-1.884429704625773, -3.4067234711796943)]","[(-0.7423347397956772, -3.0093859119390984)]","[(-1.0396110033927428, -2.778306273517787)]","[(-1.648057310302349, -3.8866161778189343)]","[(-1.216919139357617, -2.817940587908079)]","[(-2.5260138272321777, -3.208664037610708)]","[(-1.5434088011979892, -3.9310298466521507)]","[(-1.421292029990688, -3.937438586225686)]","[(-1.7550676094840467, -3.511898861563353)]","(-1.6269999999999998, -2.302)",False,False,False,False,False,False,False,False,False,False
"(3.673000000000001, -5.702)","[(1.075304105768542, 0.9992148938267595)]","[(0.6223053651120511, 0.7258920323824215)]","[(1.3815165003157364, 2.1412419251424857)]","[(1.1221433042006486, 1.3976738701761238)]","[(0.2058114945115469, 2.431746490906283)]","[(-0.142255565204766, 0.792653310180693)]","[(0.7309402771711878, 1.3047974469837091)]","[(1.2142920069426086, 1.6204272560395445)]","[(-0.034561984188765216, 0.24925319783986732)]","[(2.212920095061708, 1.0067677337111531)]","[(-0.03171875967161619, 0.8498095869051727)]","[(0.7981507512306842, 1.3919422906404162)]","[(0.8644702492334313, 0.9831868550647321)]","[(0.2515754340964774, 1.6477245656571835)]","[(0.9506026700337646, 2.028960660957424)]","[(1.2156816468905118, 1.654656212121261)]","[(0.9232430156829623, 1.2023004050769235)]","[(0.17061185011524, 2.075680981642937)]","[(0.40630729936531484, 1.539370484037784)]","[(1.7170340947949554, 2.0911860657884165)]","(0.3230000000000004, 0.24800000000000022)",False,False,False,False,False,False,False,False,False,False
"(-3.2769999999999997, -3.802)","[(-3.505873500347729, -4.851215700107863)]","[(-3.465095374796179, -4.748257463678261)]","[(-2.8283389475821648, -4.812329387404389)]","[(-2.891287990933765, -4.560472639185407)]","[(-3.8066533661408926, -3.2424984622752357)]","[(-3.543192030801156, -4.398936659941434)]","[(-3.930231523914188, -4.254566222818844)]","[(-3.66244955930432, -3.569502573878469)]","[(-2.8294601774230737, -3.953797249901411)]","[(-3.8852633240243395, -4.695933384614726)]","[(-4.438119173255411, -4.276844399404171)]","[(-5.001148296251916, -4.305544138807587)]","[(-3.4958594055603807, -4.368101430476874)]","[(-4.580102043928926, -4.130298660691496)]","[(-2.8970578686906756, -4.236830512024268)]","[(-4.441975142223612, -3.9280857661190405)]","[(-4.278419580336415, -4.149766000030995)]","[(-3.562133269392531, -3.7082222010150803)]","[(-2.4326274836237802, -4.332911336889699)]","[(-4.694200796191408, -4.156276075484418)]","(-2.377, -3.652)",False,False,False,False,False,False,False,False,False,False
"(2.3230000000000004, 0.29800000000000004)","[(-0.7615916005838494, -0.3187073794950163)]","[(-1.0712630743400477, 1.7060104376510408)]","[(-0.88418234411952, 0.41748966959426387)]","[(-0.8976010531295798, 0.7064504998305123)]","[(-1.0050638290718261, 0.8315017409875313)]","[(-1.1944471569895896, 0.5693010567176965)]","[(-0.6074926983567293, -0.09712751695023741)]","[(-0.6566329980218584, 0.9013054742591571)]","[(-0.7312946310855453, 0.291308206498752)]","[(-0.3545891097804176, 0.6627270727211158)]","[(-0.3545891097804176, 0.6627270727211158)]","[(-0.8206857145031967, 0.41235203088978817)]","[(-0.47108751722572784, 1.021235156796837)]","[(-0.38675074532549014, 0.095869860711225)]","[(-0.7404517045745315, 0.9241796658759196)]","[(-1.3497965266650802, 0.39324025027118353)]","[(-0.39770195740335246, 0.12679468347869255)]","[(-1.0156544775518985, 0.5741765094428823)]","[(-0.2917848485598593, 2.019466502472903)]","[(-0.20355745282073634, 0.5184530978348565)]","(-1.9769999999999994, -0.0019999999999997797)",False,False,False,False,False,False,False,False,False,False
"(2.2230000000000008, -5.352)","[(1.1260085225691183, 0.7601358333280973)]","[(1.1428908285334785, -0.09468420752085416)]","[(1.4824597732247566, 1.255346448610737)]","[(1.3894181311126692, 0.8728953912437912)]","[(1.7149207339757795, 0.12147926382187613)]","[(1.6720041737276046, 0.9554663937315436)]","[(0.8161136486778019, 1.6422515266453503)]","[(1.9737435701571777, 1.1536950840759337)]","[(1.3168105923684144, 1.0754284665925855)]","[(1.2598704742977667, 1.1157760564357808)]","[(1.0189177464105472, 0.7957733583635271)]","[(0.5574732016822564, 0.6678533346332121)]","[(1.5445417627819968, 0.9568100774884516)]","[(0.9266586720971071, 1.5787814202087644)]","[(1.418378734956701, 1.1213421854609473)]","[(2.240213037637552, 0.5073126088604044)]","[(0.5862643494453142, 1.2946569840379651)]","[(0.341163999545979, 0.5280501971593798)]","[(0.6082520642036182, 1.211316673599644)]","[(1.5311832488637545, 0.766935283452683)]","(2.173000000000001, 0.4480000000000004)",False,False,False,False,False,False,False,False,False,False
"(-2.1769999999999996, -0.5019999999999998)","[(-0.7803454599719153, -1.7576524155105941)]","[(-0.9052232305549699, -2.386411468182118)]","[(-1.5605681533063671, -1.0854594768586143)]","[(-0.7424559977733638, -1.6437743650064027)]","[(-1.2993271872822743, -1.6213753501171166)]","[(-1.4180498523246503, -2.530272146715493)]","[(-1.4071707751079199, -2.0227947334460072)]","[(-1.4394134940133174, -1.684505691415862)]","[(-1.5226538823490847, -2.4469616326323633)]","[(-1.4947591754395644, -1.8007766697215846)]","[(-1.6349380329179382, -2.0432452343502443)]","[(-0.3274145477686563, -1.0519694932407258)]","[(-0.9512470709994008, -1.8808395854545057)]","[(-0.9137968101495857, -1.5853333142014145)]","[(-0.5027482295520557, -2.0279847871899626)]","[(-1.3110602373902795, -2.485201716298654)]","[(-0.5683417934594501, -1.9682461480980442)]","[(-1.872735637186814, -1.4384739221264828)]","[(-0.9409559785737194, -1.440262341845835)]","[(-0.43150092178773425, -2.534302755611351)]","(-0.026999999999999247, -2.802)",False,False,False,False,False,False,False,False,False,False
"(1.9730000000000008, 2.7479999999999993)","[(2.9072881623883275, -0.8406270700364836)]","[(2.389729264202919, -1.4485407668877086)]","[(3.3050983220945964, -0.9186772205392231)]","[(2.0163281677625653, -0.9773545831797912)]","[(3.712033367676456, -1.9377818333795727)]","[(2.553521873576205, -1.3026103872140427)]","[(2.2404489628611484, -2.0275997958422636)]","[(3.2542497355165017, -1.516587127615402)]","[(2.4509241048095882, -1.861765977987511)]","[(2.3961437724362122, -1.3751705136229493)]","[(3.2535677281873774, -1.4254488476879796)]","[(2.779013035899741, -1.23597616850983)]","[(2.4753680109170078, -1.4984193305200184)]","[(2.6543958922920803, -1.3518653514260073)]","[(3.2537750951969793, -0.7450525036431568)]","[(2.856827336514897, -1.8079016907072063)]","[(2.5188949936986966, -1.8644060299216867)]","[(2.3457816597824785, -1.7155677618382548)]","[(3.726156866904806, -1.3192718938334973)]","[(1.870070506928592, -1.3248285917744178)]","(3.5730000000000013, -2.652)",False,False,False,False,False,False,False,False,False,False
"(-0.1769999999999996, -3.702)","[(-3.9663684521426665, -3.4754389467610487)]","[(-4.718669038434941, -2.5452070941808604)]","[(-4.755015292891639, -1.4486133877199507)]","[(-4.6774941233416625, -2.8462402551463377)]","[(-4.349737005725683, -2.560832705708794)]","[(-3.8006823611217015, -3.0295314145817893)]","[(-3.6624584138212986, -2.3366150303230526)]","[(-3.4644091819466585, -3.0961964849717147)]","[(-3.4644091819466585, -3.0961964849717147)]","[(-4.2663416774561735, -2.9114151734538964)]","[(-4.4825822188458275, -3.3387779945531557)]","[(-4.552414777463148, -2.1686277636063633)]","[(-4.38583204322512, -3.029832923738606)]","[(-3.8545658839194616, -3.3066352993126706)]","[(-4.1844357508759895, -2.989382247275058)]","[(-4.905526498174393, -3.2886876500663407)]","[(-3.7717192532370554, -3.033396120706116)]","[(-5.018169579712353, -2.4176066461937524)]","[(-5.041725906731408, -2.7929534087844177)]","[(-4.5147892326468515, -2.438862725667047)]","(-3.4769999999999994, -3.8520000000000003)",False,False,False,False,False,False,False,False,False,False
"(-2.1769999999999996, -0.3019999999999996)","[(-2.73819041195594, 2.104830761837372)]","[(-2.8250875493253327, 2.2151948806905875)]","[(-2.147969810349598, 2.2162773619104126)]","[(-1.7714939377159398, 2.0665876119631172)]","[(-1.6854313517284216, 2.8174091406599113)]","[(-2.792296325321686, 2.857382934640045)]","[(-2.900624176343601, 2.3980476002091873)]","[(-2.8077406077212577, 2.5091629191302913)]","[(-2.616541265509839, 2.554504795613384)]","[(-2.6736421214123998, 3.0769560824434015)]","[(-2.04623827262129, 2.825815864120285)]","[(-1.643326113606351, 2.067352329181759)]","[(-1.785524244957891, 2.8599989774879915)]","[(-2.643765959053727, 2.33427773916847)]","[(-0.8995127379637076, 2.2463270867632343)]","[(-2.2762275355873736, 1.9813890125217801)]","[(-1.9970929835170699, 2.63461445382173)]","[(-2.4041947017648124, 3.0635545236209714)]","[(-3.304719469401864, 2.2029259963153645)]","[(-3.231273832777463, 2.946416696427259)]","(-3.4269999999999996, 2.3979999999999997)",False,False,False,False,False,False,False,False,False,False
"(0.8730000000000002, -2.1020000000000003)","[(1.4954890389715405, -2.246127162607665)]","[(0.6321123151619926, -4.205548175280101)]","[(0.696133682425156, -3.4752992357092065)]","[(1.4600119744245137, -3.8107303945232704)]","[(1.2301813288143146, -3.9666840570945165)]","[(1.2514787127701443, -2.4026819097739196)]","[(1.1872476770566631, -4.1554969088729266)]","[(1.441189227052369, -3.737019856354506)]","[(1.1822494765060718, -3.1947395468612)]","[(1.3823550748914268, -3.836716477133613)]","[(1.0453917575453495, -3.8872050441954933)]","[(2.1863558337238924, -3.663823553649421)]","[(2.046285569402451, -2.9244350852397014)]","[(0.9580029608633476, -3.885465642748554)]","[(1.6394530279393367, -3.895492501162014)]","[(1.3319196403627471, -3.7959328289051046)]","[(1.9150245665609358, -4.2252590634902285)]","[(1.2460558747945012, -4.094372066638822)]","[(1.5010367805526312, -3.4905791138416626)]","[(1.1352064863896074, -3.3273945444002697)]","(2.4730000000000008, -2.8520000000000003)",False,False,False,False,False,False,False,False,False,False
"(-2.877, -5.102)","[(0.3150718744108666, -3.8768436323038404)]","[(-0.16617253196447648, -4.7048614838577985)]","[(0.20256945430690498, -3.3721394737041477)]","[(0.02502982002715423, -4.978597156618565)]","[(-0.2295682122631695, -3.3750512103230994)]","[(0.3816200853054723, -4.272981053871473)]","[(0.8138599155569449, -3.774272140628104)]","[(0.6977831150639543, -4.36087062164049)]","[(0.19397074874028117, -3.931097217138371)]","[(0.8526727925446492, -4.307846294168241)]","[(-0.21456462954141434, -3.260377863425196)]","[(-0.04854780603231751, -3.617119274195862)]","[(0.08508455161093612, -4.562428140726553)]","[(0.6465242148436486, -3.9188441994338765)]","[(0.31034660348061965, -3.1939259134616877)]","[(0.2373738499449249, -4.332410315083743)]","[(0.7890349949485603, -4.0882452808814875)]","[(0.5488093186733133, -3.29772366848007)]","[(0.6741868014796475, -4.277702664502307)]","[(0.12274232150370411, -4.396187358811092)]","(-0.577, -5.452)",False,False,False,False,False,False,False,False,False,False
"(-4.327, -0.10200000000000031)","[(-1.9688290214318023, -2.662631239544804)]","[(-1.3693969565515902, -3.007810496055362)]","[(-2.1728009923513754, -1.5922426500104558)]","[(-2.2790178241015644, -1.9609876641437884)]","[(-1.8308504322513124, -1.269970513959839)]","[(-1.6117781245096132, -2.5233839873053463)]","[(-1.0854061515389755, -2.8877971639609235)]","[(-2.1275754945446974, -2.2737835114382676)]","[(-2.278115367360411, -1.6186229475001421)]","[(-2.340523761680137, -1.6562091798915262)]","[(-1.8058607944197864, -2.564125194169845)]","[(-1.7562885568949305, -2.5365297039460333)]","[(-1.5547642341037693, -2.0612781383741674)]","[(-2.5951750001099523, -2.360270329417901)]","[(-1.8370576837616726, -1.9191266078964837)]","[(-1.945105805639682, -3.2156710620003994)]","[(-1.3657718971511477, -1.8741392884677182)]","[(-1.742750585034204, -2.053042154982431)]","[(-1.3797664247434818, -0.8754633399818361)]","[(-1.547483316465531, -2.3018326610157076)]","(-3.1769999999999996, -3.202)",False,False,False,False,False,False,False,False,False,False
"(4.023000000000001, -1.0519999999999996)","[(1.2407454340638358, 0.8285018229885184)]","[(0.7195859254519439, 0.7395906591708284)]","[(1.3914634867810654, 1.1153139552498323)]","[(1.4404976339825362, 0.6635836286073347)]","[(0.6504497971506232, 0.989020391509033)]","[(2.0698500850153114, 0.9503318516024295)]","[(1.5497427189498567, 0.7469858661683417)]","[(0.6826509489668833, 1.0651720538017586)]","[(0.5084481108538581, 0.8698661831212215)]","[(1.1862753718741617, 0.5841807147105395)]","[(0.6872976277223872, 0.753232316104449)]","[(0.18413549754940614, 0.6738917717182341)]","[(0.6992952133538644, 1.4725370141424312)]","[(0.47409138471291756, 0.9101015435630584)]","[(1.2290486442614161, 1.2276456328072722)]","[(1.4379906819553183, 1.0303661411155243)]","[(0.5960766635049147, 0.9130506834876657)]","[(0.4735852014321464, 1.1064416153431482)]","[(0.8459026191382282, 0.7065644883974468)]","[(0.8363997164545566, 1.6542255246945703)]","(0.42300000000000093, 1.9480000000000004)",False,False,False,False,False,False,False,False,False,False
"(-2.5269999999999997, -4.452)","[(4.670716359199419, 1.9322880997565812)]","[(3.6609909810841543, 1.2075486068766166)]","[(4.370103925042627, 1.07674304824178)]","[(4.434554736196071, 1.762607724874938)]","[(4.785750216545966, 1.5624913952767687)]","[(4.817476096363168, 1.8750198962775573)]","[(4.435322986398071, 2.01961624981063)]","[(4.339229682559565, 1.8548701420255498)]","[(4.785750216545966, 1.5624913952767687)]","[(4.002565501576273, 1.42963177488847)]","[(4.719829357363694, 1.6176208456711576)]","[(3.8693841585791207, 1.2380645709753948)]","[(3.888418320144833, 1.5389700648375575)]","[(4.459099787021307, 1.1525702822234578)]","[(4.652985990714998, 0.9244645935980529)]","[(4.295565647383133, 1.547179315375115)]","[(3.6517548394879786, 1.4052274926553796)]","[(4.037783814243358, 1.805473658044686)]","[(4.030079424260007, 1.3556605065885472)]","[(4.305598105797629, 1.5686908954480412)]","(3.8230000000000013, -0.10200000000000031)",False,False,False,False,False,False,False,False,False,False
"(1.923000000000001, 1.298)","[(-0.9138450991756844, -2.5999201344368057)]","[(-2.069624147056436, -3.552314316731854)]","[(-1.7396144612426623, -2.7450625217575606)]","[(-0.05119671897574074, -2.66334378797892)]","[(-0.8711085645098844, -3.87685960733872)]","[(-0.8863928320710054, -2.7196599125365983)]","[(-1.8070872726269391, -3.0054344690049537)]","[(-0.9281871316539286, -3.176909118255062)]","[(-1.1964800195540561, -3.6466431999597426)]","[(-1.5237286565931483, -2.7730100954563635)]","[(-1.3380561869956138, -4.032968023894538)]","[(-0.7624996039637193, -2.841840108685835)]","[(-1.1477384722463784, -2.5080932051803457)]","[(-1.1217097959623918, -2.8865090814152268)]","[(-1.898941033598927, -3.3713583258414963)]","[(-1.2834535117578634, -3.0698121447354922)]","[(-1.3523217037412767, -3.233496007264357)]","[(-1.9829437212083958, -3.5284945313124148)]","[(-0.8330514616952805, -3.365263446556043)]","[(-1.993746618056302, -2.041737448349594)]","(0.7730000000000006, -3.3520000000000003)",False,False,False,False,False,False,False,False,False,False
